User,BackspaceCount,DeleteCount,WPM,Similarity,Diff_0,Diff_1,Diff_2,Diff_3,Diff_4,Diff_5,Diff_6,Diff_7,Diff_8,Diff_9,Extra_0,Extra_1,Extra_2,Extra_3,Extra_4,Extra_5,Extra_6,Extra_7,Extra_8,Extra_9,Miss_0,Miss_1,Miss_2,Miss_3,Miss_4,Miss_5,Miss_6,Miss_7,Miss_8,Miss_9
martyna,1,0,33.973697398245164,0.9952380952380953,0315,1503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
martyna,6,0,35.71464770466644,0.4057088744588745,0104,0104,0105,0124,0403,0409,0513,0519,0521,0521,0912,1215,1221,1509,1512,1518,1518,1715,1805,1821,2009,2118,2420,-1,-1,-1,-1,-1,-1,-3,-3,-3,-3,-3,-3,-3,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-12,-12,-12,-12,-12,-12,-12,-12,-13,-13,-13,-14,-14,-14,-14,-14,-14,-14,-14,-15,-15,-15,-15,-15,-15,-15,-15,-16,-16,-17,-17,-18,-18,-18,-18,-18,-19,-19,-19,-19,-19,-20,-20,-20,-20,-20,-20,-20,-20,-21,-21,-21,-21,-21,-22,-22,-24,-24,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,9,9,9,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,16,16,17,18,18,18,18,18,18,19,19,20,20,20,20,20,20,20,21,21,21,21,21,21,21,22,22,24,24
martyna,0,0,36.39496828741177,0.9972222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
martyna,4,0,37.58799207951173,0.9952777777777778,0105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
martyna,7,0,34.894066063990685,0.9986111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
martyna,8,0,39.149617666680726,0.985,1221,2112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,21,0,0,0,0,0,0,0
martyna,17,0,34.389268323274905,0.9855555555555556,0,0,0,0,0,0,0,0,0,0,-5,-14,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
martyna,13,0,36.55182899736259,0.9902777777777777,0921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
martyna,2,0,36.56701017106455,0.9881944444444444,0921,2125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
martyna,7,0,37.69922654825484,0.9987179487179486,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blanka,0,0,4696.234986318259,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blanka,0,0,11858.319282194256,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blanka,0,0,13059.9822689668,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blanka,0,0,10282.376030229836,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blanka,0,0,13583.07941419884,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blanka,0,0,14045.283510285028,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blanka,0,0,14488.847435963868,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blanka,0,0,13363.354154903276,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blanka,0,0,11873.070581084385,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blanka,0,0,12307.932279652106,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maciek,3,0,216.3529412927842,0.9881944444444445,0409,1615,0,0,0,0,0,0,0,0,-16,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
maciek,1,0,158.78185047115517,0.9861111111111112,0914,0,0,0,0,0,0,0,0,0,-5,-16,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maciek,2,0,204.3836509207433,0.9849999999999999,0518,1805,0,0,0,0,0,0,0,0,-9,-19,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
maciek,2,0,168.83298831548268,0.9841666666666666,1518,1815,0,0,0,0,0,0,0,0,-17,-20,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
maciek,2,0,153.41416105435675,0.9875,0,0,0,0,0,0,0,0,0,0,-3,-5,0,0,0,0,0,0,0,0,5,15,0,0,0,0,0,0,0,0
maciek,2,0,176.32406112526124,0.9791666666666666,0,0,0,0,0,0,0,0,0,0,-12,-18,-19,-21,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0
maciek,4,0,141.47920809093276,0.9782473544973544,0,0,0,0,0,0,0,0,0,0,-5,-19,-21,0,0,0,0,0,0,0,9,9,18,20,0,0,0,0,0,0
maciek,3,0,182.14828855759333,0.9828703703703704,0,0,0,0,0,0,0,0,0,0,-14,-18,-18,0,0,0,0,0,0,0,5,14,19,0,0,0,0,0,0,0
maciek,2,0,174.03259589834082,0.9859259259259259,0,0,0,0,0,0,0,0,0,0,-5,-16,-20,0,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0
maciek,5,0,154.76492312061507,0.9743308080808081,1516,1615,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,0,0,0,1,5,12,14,19,0,0,0,0,0
luiza,0,0,41.12522267942957,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luiza,0,0,61.128912882921036,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luiza,0,0,59.95271121193739,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luiza,0,0,56.09427869350936,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luiza,0,0,62.201903461753176,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luiza,0,0,60.898854942600266,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luiza,0,0,53.39900957151653,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luiza,0,0,58.07464631923432,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luiza,0,0,38.960030423074535,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luiza,0,0,61.35363980892667,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pola,1,0,60.1747382082235,0.986904761904762,0309,0901,0,0,0,0,0,0,0,0,-14,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
pola,0,0,59.65125271983266,0.986904761904762,0309,0901,0,0,0,0,0,0,0,0,-14,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
pola,0,0,62.2961655106758,0.986904761904762,0309,0901,0,0,0,0,0,0,0,0,-14,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
pola,0,0,58.471010735271,0.986904761904762,0309,0901,0,0,0,0,0,0,0,0,-14,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
pola,0,0,63.7701998440853,0.986904761904762,0309,0901,0,0,0,0,0,0,0,0,-14,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
pola,0,0,57.4454347071535,0.986904761904762,0309,0901,0,0,0,0,0,0,0,0,-14,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
pola,0,0,61.2584946911968,0.986904761904762,0309,0901,0,0,0,0,0,0,0,0,-14,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
pola,0,0,59.057171355585,0.986904761904762,0309,0901,0,0,0,0,0,0,0,0,-14,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
pola,0,0,60.2089099021578,0.986904761904762,0309,0901,0,0,0,0,0,0,0,0,-14,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
pola,0,0,58.6579057140655,0.986904761904762,0309,0901,0,0,0,0,0,0,0,0,-14,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
filip,6,0,100.33938716273235,0.9786111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,14,15,18,19,0,0,0,0
filip,4,0,109.0383665666277,0.9815806878306879,0,0,0,0,0,0,0,0,0,0,-21,-21,0,0,0,0,0,0,0,0,4,6,15,21,0,0,0,0,0,0
filip,3,0,102.4759745083106,0.9849338624338624,0,0,0,0,0,0,0,0,0,0,-13,-21,0,0,0,0,0,0,0,0,1,1,20,0,0,0,0,0,0,0
filip,4,0,102.864840437985,0.9869444444444445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,12,15,0,0,0,0,0,0
filip,4,0,107.28060449218,0.9854166666666667,0,0,0,0,0,0,0,0,0,0,-15,-15,0,0,0,0,0,0,0,0,4,5,13,14,0,0,0,0,0,0
filip,4,0,106.0776493040055,0.9897222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,12,14,0,0,0,0,0,0
filip,4,0,103.486490255028,0.9901190476190477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,21,0,0,0,0,0,0
filip,5,0,103.1446377105987,0.9814880952380952,0,0,0,0,0,0,0,0,0,0,-15,0,0,0,0,0,0,0,0,0,3,5,14,20,21,0,0,0,0,0
filip,2,0,103.4280877701921,0.9934523809523809,0,0,0,0,0,0,0,0,0,0,-15,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0
filip,2,0,106.7497550850845,0.9913690476190475,0,0,0,0,0,0,0,0,0,0,-15,0,0,0,0,0,0,0,0,0,19,21,0,0,0,0,0,0,0,0
eliza,1,0,37.93968394287424,0.9916666666666667,0518,1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
eliza,1,0,39.7021931820896,0.9958333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
eliza,0,0,38.1780190406794,0.9958333333333333,0518,1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eliza,1,0,31.4354402076443,0.9916666666666667,1518,1815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
eliza,0,0,32.1733615866367,0.9958333333333333,0518,1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eliza,1,0,38.6598820146203,0.9916666666666667,0518,1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
eliza,0,0,34.065531872824,0.9958333333333333,1518,1815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eliza,0,0,38.2967069552587,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eliza,2,0,36.2342062721748,0.9916666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19,0,0,0,0,0,0,0,0
eliza,0,0,35.1045847891053,0.9958333333333333,1518,1815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mateusz,1,0,53.07128775550854,0.981969696969697,0513,0519,1305,1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
mateusz,1,0,56.934757822727,0.9944444444444446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
mateusz,0,0,55.10238864581714,0.9836363636363636,0513,1305,1518,1815,1821,2118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mateusz,2,0,50.4300887434031,0.9891666666666666,0513,1305,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mateusz,0,0,52.92297360033325,0.9866666666666667,0513,1305,1518,1815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mateusz,2,0,50.1407072981028,0.9951388888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,0,0,0,0,0,0,0,0
mateusz,0,0,52.71527732622667,0.99,0513,1305,1518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mateusz,1,0,57.80763246956633,0.99,0513,1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
mateusz,2,0,58.85475766602485,0.9866666666666667,0513,1305,1518,1815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mateusz,1,0,51.0062136501163,0.9981481481481481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
nina,2,0,45.922346118051,0.99375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,0,0,0,0,0,0,0,0
nina,2,0,44.8608358881049,0.99375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0
nina,2,0,41.5171338893739,0.9902777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21,0,0,0,0,0,0,0,0
nina,0,0,47.791461158498,0.9958333333333333,1518,1815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nina,0,0,42.7378677020192,0.9976190476190477,0901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nina,0,0,49.152653351127,0.9952380952380953,0309,0903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nina,0,0,43.6131704026633,0.9981481481481481,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nina,0,0,44.2573266991096,0.9958333333333333,0,0,0,0,0,0,0,0,0,0,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nina,1,0,47.0511366441933,0.9966666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
nina,1,0,40.0264380834337,0.9966666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
alicja,0,0,26.39869656350237,0.9916666666666667,0519,1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alicja,3,0,20.1408492393293,0.9952380952380953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,0,0,0,0,0,0,0,0
alicja,2,0,27.45014709053163,0.9979166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
alicja,1,0,24.5907393993425,0.9979166666666667,1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
alicja,1,0,26.3112694354033,0.9916666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
alicja,1,0,27.954861807448,0.9979166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
alicja,1,0,24.4260002282851,0.9979166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
alicja,1,0,2.7895546308996,0.9979166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
alicja,1,0,27.5360580148335,0.9979166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
alicja,1,0,22.0180412679446,0.9984848484848484,0618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
